day,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
2025-11-17,1.648516347689544,1.0,0.1898176547278577,1.0,1.0
2025-11-18,-0.13938096592846874,1.0,-0.0497350781256196,1.0,1.0
2025-11-19,-1.5435969487819106,0.9641500453573262,0.758843226231442,0.6634471496428058,2.0
2025-11-20,-0.05726328582847959,0.09972255085854591,0.7051628664550913,0.3294278183020497,2.0
2025-11-21,-0.6311957425317274,1.0,0.14732409982303524,1.0,1.0
2025-11-22,-0.7600851322622366,1.0,0.22106237286188662,1.0,1.0
2025-11-23,-0.23253913190282996,0.59329868745394,0.35856898347283916,1.076717177522814,3.0
2025-11-24,0.6237798943179673,1.0,-1.823267679663515,1.0,1.0
2025-11-26,0.026214348423984513,0.8114439168740637,-0.33346295753156036,0.8859234107298435,3.0
2025-11-27,0.027328807152542996,0.8646561189262169,-0.3301489451798354,0.6372248592429215,5.0
2025-11-28,0.09959351364931808,1.2344589820911032,0.5548363056376127,0.3456374905405584,8.0
2025-11-29,-0.7515422642298978,0.12064898259393425,0.3670429654140469,0.2640375615350059,4.0
2025-11-30,-0.10003436892541911,1.0236279477178867,-1.137548144175428,0.9697538670714314,2.0
2025-12-02,0.9403503252350077,1.0,1.0754092604844427,1.0,1.0
2025-12-03,-0.26978137337490576,0.4854474486591559,0.049504623101939656,0.9532782300514712,6.0
2025-12-04,-0.2622782888405625,1.4321421262143763,0.647262752128029,0.6471079296303204,7.0
2025-12-05,-0.1495564440650877,1.1159674698011666,0.2801347209059421,0.4211126257905617,3.0
2025-12-06,-0.4446453100270429,1.3639190043333569,-0.5360262753214943,1.536506258107389,4.0
2025-12-07,-1.1643459140850507,1.0,-1.0095998556095638,1.0,1.0
2025-12-12,0.6961800515386413,0.400730943537383,-1.6338388623978501,0.7411064325586154,3.0
2025-12-13,0.30119345808179687,1.1211905612297586,-0.13458725163905377,0.65354217589706,2.0
2025-12-15,0.7330720668964692,0.15456247272173826,-1.0731714539234734,1.0607962555264376,2.0
2025-12-16,0.7071067811865476,1.0,-0.7071067811865474,1.0,1.0
2025-12-19,1.3223272648896416,1.0,0.5833010775887462,1.0,1.0
2025-12-20,0.9012929344075803,0.3924627050301191,-0.7830726054477406,1.471057981469636,2.0
2025-12-21,0.6237798943179673,1.0,-1.823267679663515,1.0,1.0
2025-12-22,-0.7084535200285204,1.0,-0.46117794686202185,1.0,1.0
2025-12-23,-0.5532599612097958,1.0,-0.49877833527869675,1.0,1.0
2025-12-24,-0.5783646695006156,2.3291946255572284,1.0149370919404423,0.30127573151658343,2.0
2025-12-25,-0.03757015997577917,1.4016311535199266,0.5827054197404196,0.8901457267834478,2.0
2025-12-26,0.42027033158558436,1.0,-0.0497350781256196,1.0,1.0
2025-12-29,0.41707898302428564,0.26635132234287,-0.14802062743349495,1.340945243435341,3.0
2025-12-30,-0.0930939387656277,1.0,1.5069535901380735,1.0,1.0
2026-01-01,0.6864618996422001,0.6185040701450714,0.1588922097244938,1.122701172584579,5.0
